empties,exact,probe2,probe4,probe6,probe8,probe10,nprobe2,nprobe4,nprobe6,nprobe8,nprobe10
22,-8,-5.87,-3.62,-6.02,-4.94,-9.09,-4.98,-2.57,-5.60,-3.65,-5.56
22,4,-0.86,6.13,1.76,1.50,2.14,0.00,7.34,2.65,3.54,5.50
22,-8,0.06,-2.22,-5.31,-6.54,-5.21,0.00,-2.03,-6.29,-5.53,-6.34
22,6,5.80,5.02,4.53,0.70,2.94,5.56,2.14,4.85,3.77,4.76
22,0,8.28,4.11,1.30,1.08,0.61,6.67,1.42,-0.44,1.06,1.48
22,0,-5.16,-4.20,-3.04,-2.77,-1.79,-2.01,-2.03,-2.08,-1.44,0.39
22,-16,-13.51,-12.09,-14.53,-12.62,-12.81,-15.45,-12.78,-13.70,-10.37,-12.00
24,16,16.58,15.88,13.34,12.91,8.41,16.13,16.26,14.98,14.21,10.55
24,0,1.81,4.36,2.21,-1.10,-0.99,1.19,3.16,2.03,-1.05,-0.70
24,4,4.09,2.99,2.96,3.61,4.07,7.17,6.07,3.39,5.89,5.01
24,10,9.70,10.80,11.85,9.60,10.11,10.07,10.34,10.98,11.42,9.84
24,6,8.11,6.89,6.91,6.33,6.32,8.60,6.11,8.05,5.64,6.94
24,22,13.33,14.63,21.54,18.01,17.07,23.73,23.05,25.67,24.71,20.39
24,2,0.63,-0.53,-1.39,-0.39,-2.54,3.10,1.63,-0.10,2.82,1.20
24,-6,-9.13,-8.91,-9.74,-10.72,-8.95,-8.00,-7.18,-7.51,-7.67,-7.63
24,14,9.64,5.38,7.50,6.03,8.28,12.78,5.88,9.59,10.24,10.55
24,14,15.79,15.67,14.62,11.87,14.83,19.44,17.80,16.07,16.08,17.20
26,-8,-2.16,-5.45,-10.74,-12.39,-12.29,-6.33,-6.37,-10.11,-12.98,-9.33
26,-6,4.40,-3.87,-12.56,-10.80,-10.10,-2.19,-6.28,-10.44,-7.47,-8.54
26,16,17.67,19.01,18.26,16.20,18.69,16.77,18.84,17.08,17.63,18.68
26,-4,-5.32,-8.11,-7.28,-7.18,-5.91,-0.02,-7.42,-5.35,-7.21,-6.39
26,8,6.56,3.77,5.50,8.53,9.74,8.11,5.94,5.16,8.93,9.80
26,10,5.04,6.40,6.21,3.07,3.29,5.12,8.11,7.98,5.10,4.05
26,-10,-8.66,-10.68,-6.89,-6.89,-8.91,-9.70,-9.65,-7.02,-7.46,-8.64
26,-10,-7.54,-10.94,-10.75,-8.95,-10.75,-3.05,-6.48,-5.58,-7.64,-8.36
26,-2,2.12,2.53,0.52,-0.44,-1.07,2.27,-0.69,-1.58,-0.32,-0.77
26,10,-0.29,3.27,1.95,5.73,6.95,6.17,9.88,5.54,7.89,10.92
28,-2,-2.36,-0.67,-1.02,-2.20,-1.34,-1.23,0.23,-1.57,-2.60,-3.00
28,14,9.64,6.69,5.87,6.02,6.02,11.26,9.55,9.11,9.82,8.62
28,6,3.74,2.61,3.80,2.87,3.60,3.97,5.22,6.76,4.56,6.31
28,-4,-2.43,-1.30,-1.22,-0.42,-0.18,-4.11,-0.54,-0.88,-0.07,-0.14
28,6,8.59,7.17,8.12,9.02,6.67,7.05,6.72,9.47,7.41,5.56
28,-14,-10.69,-10.14,-11.27,-10.40,-11.49,-13.56,-10.79,-11.45,-11.01,-15.06
